,Date,Close,High,Low,Open
0,2013-01-02,163.1699981689453,164.13999938964844,163.13999938964844,163.49000549316406
1,2013-01-03,161.1999969482422,162.8800048828125,160.8300018310547,162.47999572753906
2,2013-01-04,160.44000244140625,160.6300048828125,158.88999938964844,159.52000427246094
3,2013-01-07,159.42999267578125,159.9600067138672,159.14999389648438,159.36000061035156
4,2013-01-08,160.55999755859375,160.99000549316406,160.00999450683594,160.4600067138672
5,2013-01-09,160.49000549316406,160.8300018310547,159.89999389648438,160.77000427246094
6,2013-01-10,161.97999572753906,162.55999755859375,161.61000061035156,161.61000061035156
7,2013-01-11,161.05999755859375,161.89999389648438,160.11000061035156,161.86000061035156
8,2013-01-14,161.5399932861328,161.97000122070312,161.1300048828125,161.8800048828125
9,2013-01-15,162.55999755859375,163.1699981689453,162.35000610351562,162.8000030517578
10,2013-01-16,162.64999389648438,163.02999877929688,162.14999389648438,162.4199981689453
11,2013-01-17,163.35000610351562,164.39999389648438,161.8300018310547,161.94000244140625
12,2013-01-18,163.08999633789062,163.97000122070312,163.02000427246094,163.9499969482422
13,2013-01-22,163.6699981689453,164.22000122070312,163.3699951171875,163.47999572753906
14,2013-01-23,163.2100067138672,163.9499969482422,163.0,163.9199981689453
15,2013-01-24,161.4199981689453,162.27000427246094,161.17999267578125,161.97999572753906
16,2013-01-25,160.64999389648438,161.0399932861328,160.30999755859375,160.55999755859375
17,2013-01-28,160.2899932861328,160.72999572753906,160.02000427246094,160.24000549316406
18,2013-01-29,160.99000549316406,161.30999755859375,160.69000244140625,161.00999450683594
19,2013-01-30,162.19000244140625,163.0399932861328,162.02999877929688,162.67999267578125
20,2013-01-31,161.1999969482422,161.80999755859375,160.47000122070312,161.6199951171875
21,2013-02-01,161.4499969482422,162.77000427246094,160.8699951171875,162.66000366210938
22,2013-02-04,162.0,162.4199981689453,161.14999389648438,161.19000244140625
23,2013-02-05,161.9600067138672,162.7899932861328,161.3300018310547,162.75
24,2013-02-06,162.38999938964844,162.6300048828125,161.99000549316406,162.1300048828125
25,2013-02-07,161.83999633789062,162.9600067138672,161.1300048828125,161.24000549316406
26,2013-02-08,161.57000732421875,162.02000427246094,161.1999969482422,161.4600067138672
27,2013-02-11,159.6999969482422,159.97999572753906,159.25,159.77999877929688
28,2013-02-12,159.88999938964844,160.0500030517578,158.8800048828125,159.35000610351562
29,2013-02-13,159.0500030517578,159.63999938964844,158.77000427246094,159.60000610351562
30,2013-02-14,158.35000610351562,159.64999389648438,158.0399932861328,159.30999755859375
31,2013-02-15,155.75999450683594,156.5800018310547,154.55999755859375,156.4199981689453
32,2013-02-19,155.3300018310547,155.83999633789062,154.92999267578125,155.8000030517578
33,2013-02-20,151.44000244140625,153.92999267578125,150.83999633789062,153.89999389648438
34,2013-02-21,152.6199951171875,153.41000366210938,151.89999389648438,152.0
35,2013-02-22,152.97000122070312,152.99000549316406,151.92999267578125,152.25999450683594
36,2013-02-25,154.33999633789062,154.55999755859375,153.30999755859375,153.52000427246094
